Country,Region,Year,Happiness.Score,Health.Life.Expectancy,Trust.Government.Corruption,Generosity,Freedom,Social.support,GDP.per.capita
Niger,"Sub-Saharan Africa",2016,3.856,0.26162,0.17176,0.2097,0.38041,0.6053,0.1327
Nigeria,"Sub-Saharan Africa",2016,4.875,0.05108,0.0305,0.23219,0.27854,0.64498,0.75216
"North Cyprus","Western Europe",2016,5.771,0.84142,0.16578,0.26322,0.43596,0.81826,1.31141
Norway,"Western Europe",2016,7.498,0.79579,0.35776,0.37895,0.59609,1.1269,1.57744
Pakistan,"Southern Asia",2016,5.132,0.40306,0.1388,0.31185,0.14622,0.26135,0.68816
"Palestinian Territories","Middle East and Northern Africa",2016,4.754,0.56844,0.10613,0.11154,0.17744,0.71629,0.67024
Panama,"Latin America and Caribbean",2016,6.701,0.70835,0.08423,0.2418,0.48927,0.98912,1.18306
Paraguay,"Latin America and Caribbean",2016,5.538,0.58295,0.07396,0.25296,0.46235,1.11111,0.89373
Peru,"Latin America and Caribbean",2016,5.743,0.62994,0.05292,0.14527,0.37502,0.81255,0.99602
Philippines,"Southeastern Asia",2016,5.279,0.47036,0.11757,0.21674,0.54854,0.87877,0.81217
Poland,"Central and Eastern Europe",2016,5.835,0.69058,0.055,0.14443,0.4519,1.04685,1.24585
Portugal,"Western Europe",2016,5.123,0.79363,0.01521,0.11691,0.44727,0.94367,1.27607
"Puerto Rico","Latin America and Caribbean",2016,7.039,0.77758,0.12275,0.22202,0.46823,1.08113,1.35943
Qatar,"Middle East and Northern Africa",2016,6.375,0.71723,0.48049,0.32388,0.56679,0.87964,1.82427
Romania,"Central and Eastern Europe",2016,5.528,0.67602,0.00679,0.12889,0.36712,0.72803,1.1697
Russia,"Central and Eastern Europe",2016,5.856,0.58991,0.03586,0.02736,0.32682,1.05261,1.23228
Rwanda,"Sub-Saharan Africa",2016,3.515,0.31865,0.50521,0.23552,0.5432,0.61586,0.32846
"Saudi Arabia","Middle East and Northern Africa",2016,6.379,0.59267,0.30008,0.15457,0.37904,0.84829,1.48953
Senegal,"Sub-Saharan Africa",2016,4.219,0.40457,0.11681,0.19103,0.31056,0.77416,0.44314
Serbia,"Central and Eastern Europe",2016,5.177,0.6458,0.04339,0.20737,0.15718,0.81329,1.03437
"Sierra Leone","Sub-Saharan Africa",2016,4.635,0,0.08196,0.23897,0.30685,0.628,0.36485
Singapore,"Southeastern Asia",2016,6.739,0.94719,0.46987,0.32706,0.4877,0.86758,1.64555
Slovakia,"Central and Eastern Europe",2016,6.078,0.70367,0.02947,0.13837,0.23391,1.08268,1.27973
Slovenia,"Central and Eastern Europe",2016,5.768,0.79151,0.03635,0.25738,0.53164,1.05613,1.29947
Somalia,"Sub-Saharan Africa",2016,5.44,0.11466,0.3118,0.27225,0.56778,0.33613,0
"Somaliland Region","Sub-Saharan Africa",2016,5.057,0.33108,0.36794,0.51479,0.3913,0.75862,0.25558
"South Africa","Sub-Saharan Africa",2016,4.459,0.18611,0.08415,0.13656,0.42483,0.96053,1.02416
"South Korea","Eastern Asia",2016,5.835,0.88645,0.07716,0.18824,0.25168,0.72194,1.35948
"South Sudan","Sub-Saharan Africa",2016,3.832,0.15781,0.13015,0.25899,0.19662,0.18519,0.39394
Spain,"Western Europe",2016,6.361,0.87896,0.06137,0.17665,0.37545,1.12945,1.34253
"Sri Lanka","Southern Asia",2016,4.415,0.62007,0.07964,0.46978,0.50817,0.84783,0.97318
Sudan,"Sub-Saharan Africa",2016,4.139,0.29759,0.10039,0.18077,0,0.81928,0.63069
Suriname,"Latin America and Caribbean",2016,6.269,0.50933,0.12692,0.16665,0.52234,0.77866,1.09686
Sweden,"Western Europe",2016,7.291,0.83121,0.40867,0.38254,0.58218,1.08764,1.45181
Switzerland,"Western Europe",2016,7.509,0.86303,0.41203,0.28083,0.58557,1.14524,1.52733
Syria,"Middle East and Northern Africa",2016,3.069,0.62994,0.17233,0.48397,0.06912,0.14866,0.74719
Taiwan,"Eastern Asia",2016,6.379,0.79565,0.0663,0.25495,0.32377,0.92624,1.39729
Tajikistan,"Central and Eastern Europe",2016,4.996,0.53119,0.13509,0.25998,0.43408,0.75602,0.48835
Tanzania,"Sub-Saharan Africa",2016,3.666,0.357,0.05099,0.31472,0.3176,0.77623,0.47155
Thailand,"Southeastern Asia",2016,6.474,0.64915,0.02833,0.58696,0.49553,1.04477,1.0893
Togo,"Sub-Saharan Africa",2016,3.303,0.24811,0.11587,0.17517,0.34678,0,0.28123
"Trinidad and Tobago","Latin America and Caribbean",2016,6.168,0.52608,0.01241,0.31935,0.48453,0.98569,1.32572
Tunisia,"Middle East and Northern Africa",2016,5.045,0.59577,0.0817,0.03936,0.23553,0.43165,0.97724
Turkey,"Middle East and Northern Africa",2016,5.389,0.64718,0.12348,0.04707,0.23889,0.87717,1.16492
Turkmenistan,"Central and Eastern Europe",2016,5.658,0.44006,0.28467,0.22567,0.37408,1.03817,1.08017
Uganda,"Sub-Saharan Africa",2016,3.739,0.19625,0.06442,0.27102,0.43653,0.90981,0.34719
Ukraine,"Central and Eastern Europe",2016,4.324,0.58628,0.01829,0.20363,0.12859,1.01413,0.87287
"United Arab Emirates","Middle East and Northern Africa",2016,6.573,0.72993,0.35561,0.26591,0.56215,0.87114,1.57352
"United Kingdom","Western Europe",2016,6.725,0.80991,0.27399,0.50156,0.50036,1.08672,1.40283
"United States","North America",2016,7.104,0.779,0.14868,0.41077,0.48163,1.04782,1.50796
Uruguay,"Latin America and Caribbean",2016,6.545,0.72183,0.21394,0.18056,0.54388,1.03143,1.18157
Uzbekistan,"Central and Eastern Europe",2016,5.987,0.50163,0.28333,0.34326,0.60848,1.1681,0.73591
Venezuela,"Latin America and Caribbean",2016,6.084,0.61904,0.08304,0.0425,0.19847,1.03302,1.13367
Vietnam,"Southeastern Asia",2016,5.061,0.66157,0.11556,0.25075,0.55954,0.79117,0.74037
Yemen,"Middle East and Northern Africa",2016,3.724,0.31048,0.05892,0.09821,0.2287,0.47493,0.57939
Zambia,"Sub-Saharan Africa",2016,4.795,0.23573,0.11479,0.17866,0.42662,0.6376,0.61202
Zimbabwe,"Sub-Saharan Africa",2016,4.193,0.1595,0.08582,0.18503,0.25429,0.71478,0.35041
Afghanistan,"Southern Asia",2017,3.79399991035461,0.180746778845787,0.0611578300595284,0.311870932579041,0.106179520487785,0.581543326377869,0.401477217674255
Albania,"Central and Eastern Europe",2017,4.64400005340576,0.731159746646881,0.0398642159998417,0.201312944293022,0.381498634815216,0.803685247898102,0.996192753314972
Algeria,"Middle East and Northern Africa",2017,5.87200021743774,0.617584645748138,0.146096110343933,0.0694366469979286,0.233335807919502,1.1462174654007,1.09186446666718
Angola,"Sub-Saharan Africa",2017,3.79500007629395,0.0498686656355858,0.0697203353047371,0.097926490008831,0,1.10441195964813,0.858428180217743
Argentina,"Latin America and Caribbean",2017,6.59899997711182,0.695137083530426,0.059739887714386,0.109457060694695,0.494519203901291,1.44045114517212,1.18529546260834
Armenia,"Central and Eastern Europe",2017,4.37599992752075,0.637524425983429,0.0266744215041399,0.0834880918264389,0.198303267359734,1.00748372077942,0.900596737861633
Australia,"Australia and New Zealand",2017,7.28399991989136,0.84388679265976,0.301183730363846,0.477699249982834,0.601607382297516,1.51004195213318,1.484414935112
Austria,"Western Europe",2017,7.00600004196167,0.815328419208527,0.221060365438461,0.316472321748734,0.567766189575195,1.4599449634552,1.48709726333618
Azerbaijan,"Central and Eastern Europe",2017,5.23400020599365,0.540775775909424,0.180987507104874,0.0452693402767181,0.398155838251114,1.15240025520325,1.15360176563263
Bahrain,"Middle East and Northern Africa",2017,6.08699989318848,0.653133034706116,0.257042169570923,0.172668486833572,0.536746919155121,1.32311046123505,1.48841226100922
Bangladesh,"Southern Asia",2017,4.60799980163574,0.533241033554077,0.123717859387398,0.172255352139473,0.478356659412384,0.735131740570068,0.586682975292206
Belarus,"Central and Eastern Europe",2017,5.56899976730347,0.637714266777039,0.156313821673393,0.15513750910759,0.295400261878967,1.44494521617889,1.15655755996704
Belgium,"Western Europe",2017,6.89099979400635,0.818091869354248,0.251343131065369,0.231503337621689,0.539770722389221,1.46231269836426,1.46378076076508
Belize,NULL,2017,5.95599985122681,0.450191766023636,0.0965810716152191,0.240015640854836,0.547509372234344,1.08141779899597,0.907975316047668
Benin,"Sub-Saharan Africa",2017,3.65700006484985,0.209930211305618,0.0609290152788162,0.207948461174965,0.425962775945663,0.435299843549728,0.431085407733917
Bhutan,"Southern Asia",2017,5.01100015640259,0.495879292488098,0.173380389809608,0.474054545164108,0.501537680625916,1.34012651443481,0.885416388511658
Bolivia,"Latin America and Caribbean",2017,5.82299995422363,0.473630249500275,0.0604777261614799,0.22556072473526,0.558732926845551,1.22761905193329,0.833756566047668
"Bosnia and Herzegovina","Central and Eastern Europe",2017,5.18200016021729,0.705186307430267,0,0.328867495059967,0.204403176903725,1.0693359375,0.982409417629242
Botswana,"Sub-Saharan Africa",2017,3.76600003242493,0.341755509376526,0.0985831990838051,0.0993484482169151,0.505196332931519,1.22155499458313,1.12209415435791
Brazil,"Latin America and Caribbean",2017,6.63500022888184,0.616552352905273,0.111092761158943,0.16234989464283,0.437453746795654,1.43130600452423,1.10735321044922
Bulgaria,"Central and Eastern Europe",2017,4.71400022506714,0.708217680454254,0.0110515309497714,0.113177694380283,0.289231717586517,1.43437945842743,1.1614590883255
"Burkina Faso","Sub-Saharan Africa",2017,4.03200006484985,0.215844258666039,0.120328105986118,0.250864684581757,0.324367851018906,1.04328000545502,0.3502277135849
Burundi,"Sub-Saharan Africa",2017,2.90499997138977,0.151610791683197,0.0841479450464249,0.204435184597969,0.0599007532000542,0.629793584346771,0.091622568666935
Cambodia,"Southeastern Asia",2017,4.16800022125244,0.429783403873444,0.0681059509515762,0.385922968387604,0.633375823497772,1.00623834133148,0.601765096187592
Cameroon,"Sub-Saharan Africa",2017,4.69500017166138,0.132892116904259,0.0513066314160824,0.236298456788063,0.430388748645782,0.946018218994141,0.564305365085602
Canada,"North America",2017,7.31599998474121,0.83455765247345,0.287371516227722,0.435539722442627,0.611100912094116,1.48134899139404,1.47920441627502
"Central African Republic","Sub-Saharan Africa",2017,2.69300007820129,0.0187726859003305,0.0565650761127472,0.280876487493515,0.270842045545578,0,0
Chad,"Sub-Saharan Africa",2017,3.93600010871887,0.0411347150802612,0.0535818822681904,0.216113850474358,0.16234202682972,0.953855872154236,0.438012987375259
Chile,"Latin America and Caribbean",2017,6.65199995040894,0.819479703903198,0.0822879821062088,0.326662421226501,0.376895278692245,1.28402495384216,1.25278460979462
China,"Eastern Asia",2017,5.27299976348877,0.741415500640869,0.0227942746132612,0.0288068410009146,0.472787708044052,1.16083741188049,1.08116579055786
Colombia,"Latin America and Caribbean",2017,6.35699987411499,0.595027923583984,0.0466687418520451,0.149014472961426,0.477487415075302,1.4021829366684,1.07062232494354
"Congo (Brazzaville)","Sub-Saharan Africa",2017,4.29099988937378,0.28995743393898,0.0796181336045265,0.120852127671242,0.435025870800018,0.832044363021851,0.808964252471924
"Congo (Kinshasa)","Sub-Saharan Africa",2017,4.28000020980835,0.191407024860382,0.0602413564920425,0.246455833315849,0.235961347818375,1.22902345657349,0.0921023488044739
"Costa Rica","Latin America and Caribbean",2017,7.0789999961853,0.759509265422821,0.100106589496136,0.214613229036331,0.580131649971008,1.41640365123749,1.10970628261566
Croatia,"Central and Eastern Europe",2017,5.29300022125244,0.701288521289825,0.0431031100451946,0.248002976179123,0.255772292613983,0.96798300743103,1.22255623340607
Cyprus,"Western Europe",2017,5.62099981307983,0.84471470117569,0.0412379764020443,0.271254301071167,0.355111539363861,1.13136327266693,1.35593807697296
"Czech Republic","Central and Eastern Europe",2017,6.60900020599365,0.754444003105164,0.0368729270994663,0.0881067588925362,0.490946173667908,1.43388521671295,1.35268235206604
Denmark,"Western Europe",2017,7.52199983596802,0.792565524578094,0.40077006816864,0.355280488729477,0.626006722450256,1.55112159252167,1.48238301277161
"Dominican Republic","Latin America and Caribbean",2017,5.23000001907349,0.574873745441437,0.113945253193378,0.186967849731445,0.55258983373642,1.40241670608521,1.07937383651733
Ecuador,"Latin America and Caribbean",2017,6.00799989700317,0.685636222362518,0.140134647488594,0.150112465023994,0.4551981985569,1.28616881370544,1.00082039833069
Egypt,"Middle East and Northern Africa",2017,4.7350001335144,0.520187258720398,0.114381365478039,0.128631442785263,0.282110154628754,0.997471392154694,0.989701807498932
"El Salvador","Latin America and Caribbean",2017,6.00299978256226,0.596018552780151,0.0899809598922729,0.0782579854130745,0.432452529668808,1.18212509155273,0.909784495830536
Estonia,"Central and Eastern Europe",2017,5.61100006103516,0.695168316364288,0.183248922228813,0.0988908112049103,0.479131430387497,1.47667109966278,1.32087934017181
Ethiopia,"Sub-Saharan Africa",2017,4.46000003814697,0.353409707546234,0.165455713868141,0.312650740146637,0.408842742443085,0.86466920375824,0.339233845472336
Finland,"Western Europe",2017,7.4689998626709,0.80915766954422,0.38261154294014,0.24548277258873,0.617950856685638,1.5402467250824,1.44357192516327
France,"Western Europe",2017,6.44199991226196,0.844465851783752,0.172502428293228,0.129762306809425,0.470222115516663,1.38777685165405,1.43092346191406
Gabon,"Sub-Saharan Africa",2017,4.46500015258789,0.356578588485718,0.0760467872023582,0.0437853783369064,0.312328577041626,1.1556202173233,1.1982102394104
Georgia,"Central and Eastern Europe",2017,4.28599977493286,0.649546980857849,0.251666635274887,0.0540088154375553,0.309410035610199,0.57061493396759,0.950612664222717
Germany,"Western Europe",2017,6.95100021362305,0.798950731754303,0.276731938123703,0.336269170045853,0.562511384487152,1.47252035140991,1.48792338371277
Ghana,"Sub-Saharan Africa",2017,4.11999988555908,0.295637726783752,0.0253363698720932,0.256923943758011,0.423026293516159,0.873664736747742,0.667224824428558
Greece,"Western Europe",2017,5.22700023651123,0.810198903083801,0.04328977689147,0,0.0957312509417534,1.23941457271576,1.28948748111725
Guatemala,"Latin America and Caribbean",2017,6.4539999961853,0.540239989757538,0.0772232785820961,0.283488392829895,0.531310617923737,1.25558519363403,0.872001945972443
Guinea,"Sub-Saharan Africa",2017,3.50699996948242,0.194129139184952,0.110937617719173,0.264815092086792,0.348587512969971,0.791244685649872,0.244549930095673
Haiti,"Latin America and Caribbean",2017,3.6029999256134,0.277321130037308,0.0998721495270729,0.489203780889511,0.0303698573261499,0.640449821949005,0.368610262870789
Honduras,"Latin America and Caribbean",2017,5.18100023269653,0.582569479942322,0.0733454525470734,0.236188873648643,0.348079860210419,1.14394497871399,0.730573117733002
"Hong Kong S.A.R., China",NULL,2017,5.47200012207031,0.943062424659729,0.293933749198914,0.374465793371201,0.490968644618988,1.26279091835022,1.55167484283447
Hungary,"Central and Eastern Europe",2017,5.32399988174438,0.687763452529907,0.0366369374096394,0.0784016624093056,0.175863519310951,1.34313309192657,1.2860119342804
Iceland,"Western Europe",2017,7.50400018692017,0.833552122116089,0.153526559472084,0.475540220737457,0.627162635326385,1.6105740070343,1.480633020401
India,"Southern Asia",2017,4.31500005722046,0.455427616834641,0.0922268852591515,0.231538489460945,0.469987004995346,0.754372596740723,0.792221248149872
Indonesia,"Southeastern Asia",2017,5.26200008392334,0.492345720529556,0.0153171354904771,0.611704587936401,0.443323463201523,1.27444469928741,0.995538592338562
Iran,"Middle East and Northern Africa",2017,4.69199991226196,0.639333188533783,0.048761073499918,0.387242913246155,0.249322608113289,0.711551249027252,1.15687310695648
Iraq,"Middle East and Northern Africa",2017,4.49700021743774,0.501180469989777,0.107215754687786,0.19963726401329,0.288555532693863,0.978613197803497,1.10271048545837
Ireland,"Western Europe",2017,6.97700023651123,0.80978262424469,0.29838815331459,0.42785832285881,0.573110342025757,1.55823111534119,1.53570663928986
Israel,"Middle East and Northern Africa",2017,7.21299982070923,0.83840399980545,0.0852421000599861,0.330082654953003,0.405988603830338,1.37628996372223,1.37538242340088
Italy,"Western Europe",2017,5.96400022506714,0.853144347667694,0.0280280914157629,0.17278964817524,0.256450712680817,1.44492328166962,1.39506661891937
"Ivory Coast","Sub-Saharan Africa",2017,4.17999982833862,0.0486421696841717,0.130061775445938,0.201237469911575,0.447706192731857,0.904780030250549,0.603048920631409
Jamaica,"Latin America and Caribbean",2017,5.31099987030029,0.641022384166718,0.0552677810192108,0.233818337321281,0.474307239055634,1.36821806430817,0.925579309463501
Japan,"Eastern Asia",2017,5.92000007629395,0.913475871086121,0.163760736584663,0.12057276815176,0.505625545978546,1.43633782863617,1.41691517829895
Jordan,"Middle East and Northern Africa",2017,5.33599996566772,0.604590058326721,0.11980327218771,0.172170460224152,0.418421149253845,1.23908889293671,0.991012394428253
Kazakhstan,"Central and Eastern Europe",2017,5.81899976730347,0.606041550636292,0.119282886385918,0.201964423060417,0.437454283237457,1.38436901569366,1.28455626964569
Kenya,"Sub-Saharan Africa",2017,4.55299997329712,0.309988349676132,0.0646413192152977,0.444860309362411,0.452763766050339,1.06795072555542,0.560479462146759
Kosovo,"Central and Eastern Europe",2017,5.27899980545044,0.541452050209045,0.0574716180562973,0.319931447505951,0.260287940502167,1.13785350322723,0.951484382152557
Kuwait,"Middle East and Northern Africa",2017,6.10500001907349,0.632105708122253,0.215159550309181,0.228289797902107,0.496337592601776,1.25969874858856,1.63295245170593
Kyrgyzstan,"Central and Eastern Europe",2017,5.00400018692017,0.553457796573639,0.0394391790032387,0.42858037352562,0.454943388700485,1.39423859119415,0.596220076084137
Latvia,"Central and Eastern Europe",2017,5.84999990463257,0.638566970825195,0.0738427266478539,0.153074786067009,0.325707912445068,1.40471494197845,1.26074862480164
Lebanon,"Middle East and Northern Africa",2017,5.22499990463257,0.735081076622009,0.037513829767704,0.264450758695602,0.288515985012054,1.12962424755096,1.07498753070831
Lesotho,"Sub-Saharan Africa",2017,3.80800008773804,0,0.119094640016556,0.157497271895409,0.390661299228668,1.19009518623352,0.521021246910095
Liberia,"Sub-Saharan Africa",2017,3.53299999237061,0.229918196797371,0.0389482490718365,0.26654988527298,0.332881182432175,0.872117936611176,0.119041793048382
Libya,"Middle East and Northern Africa",2017,5.52500009536743,0.520169019699097,0.0926102101802826,0.152073666453362,0.465733230113983,1.35756433010101,1.10180306434631
Lithuania,"Central and Eastern Europe",2017,5.90199995040894,0.62894994020462,0.0118656428530812,0.010164656676352,0.234231784939766,1.47351610660553,1.31458234786987
Luxembourg,"Western Europe",2017,6.86299991607666,0.845089495182037,0.31883442401886,0.283180981874466,0.59662789106369,1.45758366584778,1.74194359779358
Macedonia,"Central and Eastern Europe",2017,5.17500019073486,0.644948184490204,0.0602777935564518,0.25376096367836,0.325905978679657,1.20789301395416,1.06457793712616
Madagascar,"Sub-Saharan Africa",2017,3.64400005340576,0.375223308801651,0.0672319754958153,0.208732530474663,0.189196765422821,0.913020372390747,0.305808693170547
Malawi,"Sub-Saharan Africa",2017,3.97000002861023,0.315089583396912,0.0727116540074348,0.287170469760895,0.466914653778076,0.512568831443787,0.233442038297653
Malaysia,"Southeastern Asia",2017,6.08400011062622,0.618784427642822,0.0656007081270218,0.416608929634094,0.402264982461929,1.28464603424072,1.29121541976929
Mali,"Sub-Saharan Africa",2017,4.19000005722046,0.169365674257278,0.104970246553421,0.183354198932648,0.306613743305206,1.28147339820862,0.476180493831635
Malta,"Western Europe",2017,6.52699995040894,0.821944236755371,0.153066068887711,0.574730575084686,0.588767051696777,1.48841166496277,1.34327983856201
Mauritania,"Sub-Saharan Africa",2017,4.29199981689453,0.285349279642105,0.136957004666328,0.201870024204254,0.0960980430245399,1.2720308303833,0.648457288742065
Mauritius,"Sub-Saharan Africa",2017,5.62900018692017,0.638007462024689,0.0421815551817417,0.360933750867844,0.491247326135635,1.20956099033356,1.18939554691315
Mexico,"Latin America and Caribbean",2017,6.57800006866455,0.709978997707367,0.132774114608765,0.120990432798862,0.412730008363724,1.210862159729,1.15318381786346
Moldova,"Central and Eastern Europe",2017,5.83799982070923,0.589465200901031,0.0100912861526012,0.208779126405716,0.240729048848152,1.25182557106018,0.728870630264282
Mongolia,"Eastern Asia",2017,4.95499992370605,0.557783484458923,0.0329022891819477,0.338464230298996,0.394143968820572,1.4930112361908,1.02723586559296
Montenegro,"Central and Eastern Europe",2017,5.23699998855591,0.667464673519135,0.0881741940975189,0.197911024093628,0.194989055395126,1.23837649822235,1.12112903594971
Morocco,"Middle East and Northern Africa",2017,5.2350001335144,0.59771066904068,0.0877631828188896,0.0322099551558495,0.408158332109451,0.774864435195923,0.878114581108093
Mozambique,"Sub-Saharan Africa",2017,4.55000019073486,0.106654435396194,0.179436385631561,0.322228103876114,0.480791091918945,0.870701014995575,0.234305649995804
Myanmar,"Southeastern Asia",2017,4.54500007629395,0.397522568702698,0.188816204667091,0.838075160980225,0.514492034912109,1.12323594093323,0.367110550403595
Namibia,NULL,2017,4.57399988174438,0.33861181139946,0.0931469723582268,0.0771337449550629,0.520303547382355,1.0984708070755,0.964434325695038
Nepal,"Southern Asia",2017,4.96199989318848,0.504130780696869,0.0729755461215973,0.394096165895462,0.440305948257446,1.17928326129913,0.479820191860199
Netherlands,"Western Europe",2017,7.3769998550415,0.810696125030518,0.282661825418472,0.470489829778671,0.585384488105774,1.42893922328949,1.50394463539124
"New Zealand","Australia and New Zealand",2017,7.31400012969971,0.816759705543518,0.382816702127457,0.500005125999451,0.614062130451202,1.54819512367249,1.40570604801178
Nicaragua,"Latin America and Caribbean",2017,6.07100009918213,0.653095960617065,0.130687981843948,0.301674216985703,0.447551846504211,1.28721570968628,0.737299203872681
Niger,"Sub-Saharan Africa",2017,4.02799987792969,0.26850500702858,0.138572946190834,0.228673845529556,0.36365869641304,0.993025004863739,0.161925330758095
Nigeria,"Sub-Saharan Africa",2017,5.07399988174438,0.0569157302379608,0.0261215660721064,0.230947196483612,0.394952565431595,1.21577048301697,0.783756256103516
"North Cyprus","Western Europe",2017,5.80999994277954,0.834647238254547,0.155353352427483,0.266845703125,0.471203625202179,1.18630337715149,1.3469113111496
Norway,"Western Europe",2017,7.53700017929077,0.796666502952576,0.315963834524155,0.36201223731041,0.635422587394714,1.53352355957031,1.61646318435669
Pakistan,"Southern Asia",2017,5.26900005340576,0.402047783136368,0.124348066747189,0.315446019172668,0.23521526157856,0.672690689563751,0.72688353061676
"Palestinian Territories","Middle East and Northern Africa",2017,4.77500009536743,0.565666973590851,0.0892826020717621,0.114173173904419,0.25471106171608,1.15564715862274,0.716249227523804
Panama,"Latin America and Caribbean",2017,6.4520001411438,0.706156134605408,0.070983923971653,0.21055693924427,0.550026834011078,1.37319254875183,1.23374843597412
Paraguay,"Latin America and Caribbean",2017,5.49300003051758,0.579250693321228,0.091065913438797,0.224150657653809,0.473507791757584,1.50728487968445,0.932537317276001
Peru,"Latin America and Caribbean",2017,5.71500015258789,0.630166113376617,0.0470490865409374,0.126819714903831,0.450002878904343,1.21877038478851,1.03522527217865
Philippines,"Southeastern Asia",2017,5.42999982833862,0.468009054660797,0.0993318930268288,0.193513423204422,0.585214674472809,1.25391757488251,0.85769921541214
Poland,"Central and Eastern Europe",2017,5.97300004959106,0.699475347995758,0.0593078061938286,0.158465966582298,0.520342111587524,1.44571197032928,1.29178786277771
Portugal,"Western Europe",2017,5.19500017166138,0.795843541622162,0.0158694516867399,0.0951027125120163,0.498465299606323,1.36704301834106,1.3151752948761
Qatar,"Middle East and Northern Africa",2017,6.375,0.710098087787628,0.439299255609512,0.330473870038986,0.604130983352661,1.27429687976837,1.87076568603516
Romania,"Central and Eastern Europe",2017,5.82499980926514,0.685158312320709,0.00438790069893003,0.133519917726517,0.457003742456436,1.15009129047394,1.21768391132355
Russia,"Central and Eastern Europe",2017,5.96299982070923,0.547349333763123,0.0329628810286522,0.0522638224065304,0.373783111572266,1.46928238868713,1.28177809715271
Rwanda,"Sub-Saharan Africa",2017,3.47099995613098,0.326424807310104,0.455220013856888,0.252756029367447,0.581843852996826,0.945707023143768,0.368745893239975
"Saudi Arabia","Middle East and Northern Africa",2017,6.3439998626709,0.590148329734802,0.27343225479126,0.147616013884544,0.449750572443008,1.28667759895325,1.53062355518341
Senegal,"Sub-Saharan Africa",2017,4.53499984741211,0.409362852573395,0.115460447967052,0.183468893170357,0.377922266721725,1.17969191074371,0.479309022426605
Serbia,"Central and Eastern Europe",2017,5.39499998092651,0.65078467130661,0.0409037806093693,0.220125883817673,0.208715528249741,1.25818979740143,1.06931757926941
"Sierra Leone","Sub-Saharan Africa",2017,4.70900011062622,0.00556475389748812,0.0710951760411263,0.293040901422501,0.318697690963745,0.984136044979095,0.36842092871666
Singapore,"Southeastern Asia",2017,6.57200002670288,0.949492394924164,0.46430778503418,0.345965981483459,0.549840569496155,1.35381436347961,1.69227766990662
Slovakia,"Central and Eastern Europe",2017,6.09800004959106,0.712732911109924,0.0242108516395092,0.136544480919838,0.295817464590073,1.50505924224854,1.32539355754852
Slovenia,"Central and Eastern Europe",2017,5.75799989700317,0.790828227996826,0.0451289787888527,0.242649093270302,0.572575807571411,1.45251882076263,1.3412059545517
Somalia,NULL,2017,5.15100002288818,0.113989137113094,0.282410323619843,0.291631311178207,0.602126955986023,0.721151351928711,0.0226431842893362
"South Africa","Sub-Saharan Africa",2017,4.8289999961853,0.187080070376396,0.0725094974040985,0.139362379908562,0.479246735572815,1.38478863239288,1.05469870567322
"South Korea","Eastern Asia",2017,5.83799982070923,0.900214076042175,0.0632826685905457,0.206674367189407,0.257921665906906,1.12827444076538,1.40167844295502
"South Sudan",NULL,2017,3.59100008010864,0.163486003875732,0.116793513298035,0.285670816898346,0.147062435746193,0.601323127746582,0.39724862575531
Spain,"Western Europe",2017,6.40299987792969,0.888960599899292,0.0709140971302986,0.190133571624756,0.408781230449677,1.53209090232849,1.38439786434174
"Sri Lanka","Southern Asia",2017,4.44000005722046,0.625130832195282,0.0736539661884308,0.490863561630249,0.561213254928589,1.25997638702393,1.00985014438629
Sudan,"Sub-Saharan Africa",2017,4.13899993896484,0.290920823812485,0.089847519993782,0.182317450642586,0.0149958552792668,1.21400856971741,0.65951669216156
Sweden,"Western Europe",2017,7.28399991989136,0.830875158309937,0.384398728609085,0.385399252176285,0.612924098968506,1.47816216945648,1.49438726902008
Switzerland,"Western Europe",2017,7.49399995803833,0.858131289482117,0.367007285356522,0.290549278259277,0.620070576667786,1.51691174507141,1.56497955322266
Syria,"Middle East and Northern Africa",2017,3.46199989318848,0.50053334236145,0.151347130537033,0.493663728237152,0.0815394446253777,0.396102607250214,0.777153134346008
"Taiwan Province of China",NULL,2017,6.42199993133545,0.793984234333038,0.0638292357325554,0.258360475301743,0.361466586589813,1.38456535339355,1.43362653255463
Tajikistan,"Central and Eastern Europe",2017,5.04099988937378,0.529235124588013,0.146377146244049,0.248997643589973,0.471566706895828,1.27146327495575,0.524713635444641
Tanzania,"Sub-Saharan Africa",2017,3.34899997711182,0.364509284496307,0.0660351067781448,0.354256361722946,0.390017777681351,1.04198980331421,0.511135876178741
Thailand,"Southeastern Asia",2017,6.42399978637695,0.647239029407501,0.0316127352416515,0.572123110294342,0.580200731754303,1.42579245567322,1.12786877155304
Togo,"Sub-Saharan Africa",2017,3.49499988555908,0.247105568647385,0.0956650152802467,0.196896150708199,0.38042613863945,0.431882530450821,0.305444717407227
"Trinidad and Tobago","Latin America and Caribbean",2017,6.16800022125244,0.519983291625977,0.00896481610834599,0.325296461582184,0.518630743026733,1.3802285194397,1.36135590076447
Tunisia,"Middle East and Northern Africa",2017,4.80499982833862,0.613212049007416,0.0867231488227844,0.0496933571994305,0.289680689573288,0.868351459503174,1.00726580619812
Turkey,"Middle East and Northern Africa",2017,5.5,0.637605607509613,0.0996715798974037,0.0466930419206619,0.300740599632263,1.33775317668915,1.19827437400818
Turkmenistan,"Central and Eastern Europe",2017,5.82200002670288,0.437726080417633,0.259270340204239,0.24992498755455,0.41827192902565,1.49314916133881,1.13077676296234
